Name of the Stocks,MACD,Aroon,PSAR,EMA
LTIM,SELL,BUY,SELL,BUY
SIEMENS,BUY,BUY,SELL,SELL
JSWENERGY,BUY,SELL,SELL,SELL
ADANIGREEN,BUY,SELL,SELL,BUY
TATASTEEL,SELL,SELL,SELL,BUY
HDFCLIFE,SELL,BUY,SELL,BUY
VEDL,SELL,SELL,SELL,BUY
EICHERMOT,SELL,SELL,SELL,SELL
HINDALCO,SELL,SELL,SELL,SELL
BAJAJFINSV,SELL,SELL,SELL,SELL
BPCL,SELL,SELL,BUY,BUY
NAUKRI,SELL,SELL,SELL,BUY
INFY,SELL,SELL,SELL,SELL
NTPC,SELL,SELL,SELL,SELL
TORNTPHARM,SELL,SELL,SELL,SELL
HCLTECH,SELL,SELL,SELL,BUY
HAVELLS,SELL,SELL,SELL,SELL
INDUSINDBK,BUY,SELL,SELL,SELL
SBILIFE,SELL,BUY,SELL,BUY
HEROMOTOCO,SELL,SELL,SELL,BUY
technical,,,,
BHARTIARTL,SELL,SELL,SELL,BUY
NESTLEIND,SELL,SELL,BUY,BUY
HYUNDAI,SELL,SELL,SELL,BUY
PNB,BUY,BUY,SELL,BUY
BAJAJHFL,SELL,SELL,SELL,BUY
SBIN,BUY,BUY,SELL,BUY
HAL,SELL,SELL,SELL,BUY
ULTRACEMCO,SELL,SELL,SELL,SELL
TITAN,SELL,SELL,SELL,BUY
APOLLOHOSP,SELL,SELL,SELL,BUY
ITC,SELL,SELL,SELL,SELL
WIPRO,BUY,SELL,SELL,SELL
TCS,SELL,SELL,SELL,SELL
POWERGRID,SELL,SELL,SELL,SELL
PFC,SELL,SELL,SELL,SELL
KOTAKBANK,SELL,SELL,SELL,SELL
DRREDDY,BUY,BUY,SELL,BUY
ADANIENT,SELL,SELL,SELL,BUY
SHREECEM,SELL,SELL,SELL,SELL
ABB,BUY,BUY,BUY,BUY
RELIANCE,SELL,SELL,SELL,BUY
COALINDIA,SELL,SELL,SELL,BUY
CGPOWER,SELL,SELL,SELL,BUY
IRFC,BUY,BUY,SELL,BUY
CANBK,BUY,BUY,SELL,BUY
ASIANPAINT,SELL,SELL,SELL,SELL
DLF,BUY,BUY,SELL,BUY
ICICIBANK,SELL,SELL,BUY,BUY
BOSCHLTD,SELL,SELL,SELL,BUY
GAIL,SELL,BUY,SELL,BUY
BAJAJ-AUTO,SELL,BUY,SELL,BUY
SHRIRAMFIN,SELL,SELL,SELL,BUY
TRENT,BUY,SELL,SELL,BUY
TECHM,SELL,SELL,SELL,BUY
DIVISLAB,SELL,SELL,SELL,BUY
TATAMOTORS,SELL,SELL,SELL,BUY
GODREJCP,SELL,SELL,SELL,BUY
BRITANNIA,SELL,SELL,SELL,BUY
LT,BUY,SELL,SELL,BUY
BEL,SELL,BUY,SELL,BUY
HDFCBANK,SELL,BUY,SELL,BUY
ZYDUSLIFE,BUY,SELL,SELL,BUY
ICICIPRULI,BUY,BUY,SELL,BUY
LODHA,BUY,BUY,SELL,BUY
ONGC,SELL,SELL,SELL,SELL
HINDUNILVR,SELL,SELL,SELL,BUY
TVSMOTOR,SELL,SELL,SELL,BUY
AXISBANK,SELL,SELL,SELL,BUY
TATACONSUM,SELL,SELL,SELL,SELL
VBL,SELL,SELL,SELL,SELL
INDHOTEL,BUY,SELL,SELL,SELL
BAJFINANCE,SELL,SELL,SELL,BUY
MOTHERSON,SELL,BUY,SELL,BUY
M&M,SELL,SELL,SELL,BUY
SUNPHARMA,SELL,SELL,SELL,SELL
GRASIM,SELL,SELL,SELL,SELL
CHOLAFIN,SELL,SELL,SELL,BUY
ADANIPOWER,SELL,SELL,SELL,BUY
ADANIENSOL,SELL,SELL,SELL,SELL
BAJAJHLDNG,SELL,SELL,SELL,BUY
UNITDSPR,SELL,SELL,SELL,BUY
CIPLA,SELL,SELL,SELL,SELL
JSWSTEEL,SELL,SELL,SELL,SELL
IOC,SELL,SELL,SELL,BUY
ADANIPORTS,SELL,SELL,SELL,BUY
AMBUJACEM,SELL,SELL,SELL,BUY
BANKBARODA,BUY,BUY,SELL,BUY
JINDALSTEL,SELL,SELL,BUY,BUY
ICICIGI,SELL,SELL,SELL,BUY
PIDILITIND,BUY,SELL,SELL,BUY
MARUTI,SELL,SELL,SELL,SELL
TATAPOWER,SELL,SELL,SELL,BUY
INDIGO,SELL,SELL,SELL,SELL
LICI,BUY,BUY,SELL,BUY
DABUR,BUY,BUY,SELL,SELL
JIOFIN,SELL,BUY,SELL,BUY
SWIGGY,BUY,BUY,SELL,SELL
DMART,SELL,SELL,SELL,SELL
RECLTD,BUY,SELL,SELL,SELL
